,model,price,rating,processor,graphic_card,core,display,ram,os,internal_storage
179,Lenovo Legion Y9000X 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,48,990",78,13th Gen Intel Core i9 13900H,8 GB NVIDIA GeForce RTX 4060,"14 Cores (6P + 8E), 20 Threads","16 inches, 3200 x 2000 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
180,Acer Nitro 5 AN515-58 NH.QFHSI.007 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹86,990",68,12th Gen Intel Core i7 12700H,4 GB NVIDIA GeForce RTX 3050,"14 Cores (6P + 8E), 20 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
181,Dell Alienware X16 R1 2023 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),"₹3,22,190",84,13th Gen Intel Core i9 13900HX,12 GB NVIDIA GeForce RTX 4080,"24 Cores (8P + 16E), 32 Threads","16 inches, 3200 x 1800 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
182,Dell Alienware X16 Gaming Laptop (13th Gen Core i9/ 32GB/ 2TB SSD/ Win 11/ 16GB Graph),"₹4,53,990",84,13th Gen Intel Core i9 13900HK,16 GB NVIDIA GeForce RTX 4090,"14 Cores (6P + 8E), 20 Threads","16 inches, 3200 x 1800 pixels",32 GB LPDDR5 RAM,Windows 11 OS,2 TB SSD
183,Dell Alienware m16 2023 Gaming Laptop (AMD Ryzen 7 7745HX/ 16GB/ 1TB SSD/ Win 11/ 8GB Graph),"₹1,99,290",81,7th Gen Amd Ryzen 7 7745HX,8 GB NVIDIA GEFORCE RTX 4060,"Octa Core, 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
184,Dell Alienware M18 R1 2023 Gaming Laptop (13th Gen Core i9/ 64GB/ 1TB SSD/ Win 11/ 16GB Graph),"₹4,48,690",83,13th Gen Intel Core i9 13980HX,16 GB NVIDIA GeForce RTX 4090,"24 Cores (8P + 16E), 32 Threads","18 inches, 3200 x 1800 pixels",64 GB LPDDR5 RAM,Windows 11 OS,1 TB SSD
185,Dell Alienware m16 Gaming Laptop (AMD Ryzen 9 7845HX/ 32GB/ 2TB SSD/ Win 11/ 12GB Graph),"₹2,69,990",91,7th Gen Amd Ryzen 9 7845HX,12 GB NVIDIA GEFORCE RTX 4080,"12 Cores, 24 Threads","16 inches, 1920 x 1200 pixels",32 GB DDR5 RAM,Windows 11 OS,2 TB SSD
186,Acer Nitro 16 ‎AN16-41 Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),"₹1,29,990",77,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,"Octa Core, 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
187,Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹73,990",70,12th Gen Intel Core i5 12500H,4 GB NVIDIA GeForce RTX 3050,"12 Cores (4P + 8E), 16 Threads","17.3 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
188,Asus ROG Zephyrus G14 GA402NJ-L8094WS Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹89,990",66,6th Gen AMD Ryzen 7  7735HS,6 GB NVIDIA GeForce RTX 3050 ,"Octa Core, 16 Threads","14 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
189,Asus Vivobook 16X 2023 K3605ZV-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),"₹99,990",71,12th Gen Intel Core i7 12650H,8 GB NVIDIA Geforce RTX 4060,"10 Cores (6P + 4E), 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
190,Acer Nitro 5 AN515-58 UN.QFHSI.026 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹69,999",64,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 3050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
191,Dell G15-5520 2023 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹76,490",69,12th Gen Intel Core i5 12500H,4 GB NVIDIA GeForce RTX 3050,"12 Cores (4P + 8E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
192,MSI Katana GF66 12UCOK 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹69,990",62,12th Gen Intel Core i5 12450H ,4 GB NVIDIA GeForce RTX 3050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
193,Lenovo IdeaPad Gaming 3 15ACH6 82K2022YIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹63,990",62,5th Gen AMD Ryzen 5 5600H,4 GB NVIDIA GeForce RTX 3050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
194,Lenovo IdeaPad Gaming 3 82K101LHIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,500",65,11th Gen Intel Core i5 11320H,4 GB NVIDIA GTX 1650,"Quad Core, 8 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
195,Lenovo IdeaPad Gaming 3 15ACH6 82K2025JIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹51,990",63,5th Gen AMD Ryzen 5  5600H,4 GB NVIDIA GeForce GTX 1650,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
196,Asus TUF Gaming F15 FX506HF-HN026W Gaming Laptop (11th Gen Core i5/ 8GB/ 1TB SSD/ Win11/ 4GB Graph),"₹52,990",65,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,1 TB SSD
197,Asus ROG Zephyrus G14 2023 GA402XU-N2045WS Gaming Laptop (AMD Ryzen 9 7940HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,25,990",79,7th Gen AMD Ryzen 9 7940HS,6 GB NVIDIA GeForce RTX 4050,"Octa Core, 16 Threads","14 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
198,Ninkear A16 Gaming Laptop (AMD Ryzen 7 7735HS/ 32 GB RAM/ 2 TB SSD/ Win 11),"₹79,999",73,7th Gen AMD Ryzen 7 7735HS,AMD Radeon 680M,"Octa Core, 16 Threads","16 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,2 TB SSD
199,Lenovo IdeaPad Gaming 3 82K2022VIN Laptop (AMD Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹64,190",63,5th Gen AMD Ryzen 5  5600H,4 GB NVIDIA GeForce GTX 1650,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
200,Lenovo IdeaPad Gaming 3 82K101LHIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,500",65,11th Gen Intel Core i5 11320H,4 GB NVIDIA GTX 1650,"Quad Core, 8 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
201,Asus Vivobook 16X 2023 K3605ZU-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹89,990",69,12th Gen Intel Core i5 12450H,6 GB NVIDIA Geforce RTX 4050,"Octa Core (4P + 4E), 12 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
202,Asus ROG Zephyrus G14 2023 GA402XU-N2045WS Gaming Laptop (AMD Ryzen 9 7940HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,39,990",79,7th Gen AMD Ryzen 9 7940HS,6 GB NVIDIA GeForce RTX 4050,"Octa Core, 16 Threads","14 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
203,Asus TUF Gaming F15 FX506HF-HN026W Gaming Laptop (11th Gen Core i5/ 8GB/ 1TB SSD/ Win11/ 4GB Graph),"₹52,990",65,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,1 TB SSD
204,Ninkear A16 Gaming Laptop (AMD Ryzen 7 7735HS/ 32 GB RAM/ 2 TB SSD/ Win 11),"₹79,999",73,7th Gen AMD Ryzen 7 7735HS,AMD Radeon 680M,"Octa Core, 16 Threads","16 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,2 TB SSD
205,Lenovo IdeaPad Gaming 3 82K2022VIN Laptop (AMD Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹64,190",63,5th Gen AMD Ryzen 5  5600H,4 GB NVIDIA GeForce GTX 1650,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
206,Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹86,990",72,12th Gen Intel Core i7 12650H,6 GB NVIDIA Geforce RTX 4050,"10 Cores (6P + 4E), 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
207,MSI Cyborg 15 A12VF-049IN Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),"₹1,11,990",73,12th Gen Intel Core i7 12650H,8 GB NVIDIA GeForce RTX 4060,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
208,MSI GF75 Thin 10SCXR-007IN Laptop (10th Gen Core i7/ 8GB/ 512GB SSD/ Win10/ 4GB Graph),"₹83,500",64,10th Gen Intel Core i7 10750H ,4 GB NVIDIA GeForce GTX 1650,"Hexa Core, 12 Threads","17.3 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 10  OS,512 GB SSD
209,MSI Bravo 15 C7UDXK-093IN Gaming Laptop (AMD Ryzen 5 7535HS/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6 GB Graphics),"₹74,990",65,7th Gen AMD Ryzen 5 7535HS,6 GB NVIDIA GeForce RTX 3050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
210,MSI Bravo 15 C7UCXK-094IN Gaming Laptop (AMD Ryzen 5 7535HS/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),"₹56,990",63,7th Gen AMD Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
211,MSI Bravo 15 C7UCXK-095IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),"₹53,990",61,7th Gen AMD Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR5 RAM,Windows 11 OS,512 GB SSD
212,Asus Vivobook 16X 2023 K3605ZF-MBN524WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹66,990",65,12th Gen Intel Core i5 12450H,4 GB NVIDIA Geforce RTX 2050,"Octa Core (4P + 4E), 12 Threads","16 inches, 1920 x 1200 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
213,Acer Nitro 5 AN515-58 NH.QLZSI.001 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹89,990",68,12th Gen Intel Core i7 12650H,6 GB NVIDIA GeForce RTX 4050,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
214,Lenovo Legion Slim 7i 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,57,544",69,13th Gen Intel Core i5 13500H ,8 GB NVIDIA Geforce RTX 4060,"12 Cores (4P + 8E), 16 Threads","16 inches, 3200 x 2000 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
215,Lenovo Legion Pro 7i 2023 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),"₹2,86,200",82,13th Gen Intel Core i9 13900HX,12 GB NVIDIA Geforce RTX 4080,"24 Cores (8P + 16E), 32 Threads","16 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
216,Lenovo Legion Pro 5 82WM00B5IN 2023 Gaming Laptop (AMD Ryzen 7 7745HX/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,43,589",75,7th Gen AMD Ryzen 7 7745HX,8 GB NVIDIA Geforce RTX 4060,"Octa Core, 16 Threads","16 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
217,Lenovo V15 G3 IAP 82TTA00UIH Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ DOS),"₹30,999",50,12th Gen Intel Core i3 1215U,Intel Integrated UHD,"Hexa Core (2P + 4E), 8 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,DOS OS,512 GB SSD
218,HP Victus 16 16-d0309TX Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹57,999",65,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce GTX 1650 ,"Hexa Core, 12 Threads","16.1 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
219,Dell Alienware x14 R2 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 6GB Graph),"₹1,99,900",71,13th Gen Intel Core i7 13620H,6 GB NVIDIA GEFORCE RTX 4050,"10 Cores (6P + 4E), 16 Threads","14 inches, 2560 x 1600 pixels",16 GB LPDDR5 RAM,Windows 11 OS,1 TB SSD
220,Lenovo V15 G3 IAP Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/Win11),"₹34,990",50,12th Gen Intel Core i3 1215U,Intel Integrated UHD,"Hexa Core (2P + 4E), 8 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
221,Lenovo V15 G3 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/Win11),"₹45,900",52,12th Gen Intel Core i5 1235U,Intel Integrated UHD,"10 Cores (2P + 8E), 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
222,Dell ‎G16-7630 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,57,990",74,13th Gen Intel Core i7 13650HX,8 GB NVIDIA GeForce RTX 4060,14 Cores (6P + 8E),"16 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
223,HP Victus 16-d0302TX Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹56,999",65,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce GTX 1650,"Hexa Core, 12 Threads","16.1 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
224,Dell 2023 ‎G16-7630 Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,66,490",78,13th Gen Intel Core i7 13650HX,8 GB NVIDIA GeForce RTX 4060,14 Cores (6P + 8E),"16 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
225,Lenovo Legion 5 Pro 2023 Gaming Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),"₹1,72,990",77,13th Gen Intel Core i7 13700H,16 GB NVIDIA GeForce RTX 4090,"14 Cores (6P + 8E), 20 Threads","16 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
226,Acer Aspire 7 A715-76G NH.QMESI.002 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹54,990",63,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce GTX 1650,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
227,Dell G15-5530 Gaming 2023 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ RTX 4060 8GB Graph),"₹1,49,999",71,13th Gen Intel Core i7 13650HX,8 GB NVIDIA GeForce RTX 4060,14 Cores (6P + 8E),"15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
228,Dell G15-5530 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ RTX 4050 6GB Graph),"₹1,22,638",69,13th Gen Intel Core i7 13650HX,6 GB NVIDIA GeForce RTX 4050,14 Cores (6P + 8E),"15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
229,Dell G15-5530 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ RTX 4050 6GB Graph),"₹1,29,990",70,13th Gen Intel Core i7 13650HX,6 GB NVIDIA GeForce RTX 4050,14 Cores (6P + 8E),"15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
230,Dell ‎G16-7630 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,78,490",75,13th Gen Intel Core i9 13900HX ,8 GB NVIDIA GeForce RTX 4060,"24 Cores (8P + 16E), 32 Threads","16 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
231,Dell G15-5530 GN553064GRM002ORB1 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),"₹81,402",64,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR5 RAM,Windows 11 OS,512 GB SSD
232,Dell G15-5530 GN5530D83M6002ORB1 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹79,990",66,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
233,Asus TUF Gaming A15 2023 FA577XU-LP041WS Gaming Laptop (AMD Ryzen 9 7940HS/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,28,999",75,7th Gen AMD Ryzen 9 7940HS,6 GB NVIDIA GeForce RTX 4050,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,1 TB SSD
234,Asus ROG Zephyrus G14 2023 GA402XV-N2034WS Gaming Laptop (AMD Ryzen 9 7940HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,95,967",86,7th Gen AMD Ryzen 9 7940HS,8 GB NVIDIA GeForce RTX 4060,"Octa Core, 16 Threads","14 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
235,Acer Aspire 5 A514-56GM Gaming Laptop (13th Gen Core i7/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹69,990",62,13th Gen Intel Core i7 1355U,4 GB NVIDIA GeForce RTX 2050,"10 Cores (2P + 8E), 12 Threads","14 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
236,Asus TUF Gaming A15 2023 FA577XV-HQ036WS Gaming Laptop (AMD Ryzen 9 7940HS/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,54,990",80,7th Gen AMD Ryzen 9 7940HS,8 GB NVIDIA GeForce RTX 4060 ,"Octa Core, 16 Threads","15.6 inches, 2560 x 1440 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
237,Acer Aspire 7 A715-76G NH.QMFSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹60,890",61,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 3050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
238,Asus ROG Zephyrus G14 2023 GA402XZ-N2020WS Gaming Laptop (AMD Ryzen 9 7940HS/ 32GB/ 1TB SSD/ Win11/ 12GB Graph),"₹2,51,041",86,7th Gen AMD Ryzen 9 7940HS,12 GB NVIDIA GeForce RTX 4080,"Octa Core, 16 Threads","14 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
239,Asus TUF Gaming A17 FA777XU-HX026WS Gaming Laptop (AMD Ryzen 9 7940HS / 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,45,800",77,7th Gen AMD Ryzen 9 7940HS,6 GB NVIDIA GeForce RTX 4050,"Octa Core, 16 Threads","17.3 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
240,Asus ROG Zephyrus G14 2023 GA402NU-N2023WS Gaming Laptop (AMD Ryzen 7 7735HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,14,990",71,7th Gen AMD Ryzen 7  7735HS,6 GB NVIDIA GeForce RTX 4050,"Octa Core, 16 Threads","14 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
241,Asus ROG Strix G16 2023 G614JU-N3221WS Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,06,990",70,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 4050,"10 Cores (6P + 4E), 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
242,Asus ROG Strix G16 2023 G614JI-N4151WS Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,98,999",74,13th Gen Intel Core i9 13980HX,8 GB NVIDIA GeForce RTX 4070,"24 Cores (8P + 16E), 32 Threads","16 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
243,Acer Predator Helios 16 PH16-71 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,66,990",68,13th Gen Intel Core i7 13700HX,8 GB NVIDIA GeForce RTX 4060,"16 Cores (8P + 8E), 24 Threads","16 inches, 2560 x 1600 pixels",16 GB LPDDR5 RAM,Windows 11 OS,512 GB SSD
244,Dell Alienware m16 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 8GB Graph),"₹2,20,990",80,13th Gen Intel Core i7 13700HX,8 GB NVIDIA GEFORCE RTX 4060,"16 Cores (8P + 8E), 24 Threads","16 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
245,Asus Vivobook 16X 2023 K3605VC-MB951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹1,09,990",71,13th Gen Intel Core i9 13900H,4 GB NVIDIA Geforce RTX 3050 ,"14 Cores (6P + 8E), 20 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,Windows 11 OS,1 TB SSD
246,Dell G15-5525 D560896WIN9S Gaming Laptop (Ryzen 9 6900HX/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,05,299",71,6th Gen AMD Ryzen 9 6900HX,6 GB NVIDIA GeForce RTX 3060,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
247,Asus TUF Gaming F17 FX706HF-HX018W Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹55,689",60,11th Gen Intel Core i5 11400H,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","17.3 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
248,Asus Vivobook 16X 2023 K3605VC-MB542WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹75,990",63,13th Gen Intel Core i5 13500H,4 GB NVIDIA Geforce RTX 3050 ,"12 Cores (4P + 8E), 16 Threads","16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
249,Dell Alienware X16 R1 Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11/ 12GB Graph),"₹3,86,490",83,13th Gen Intel Core i9 13900HK,12 GB NVIDIA GeForce RTX 4080,"14 Cores (6P + 8E), 20 Threads","16 inches, 3200 x 1800 pixels",32 GB LPDDR5 RAM,Windows 11 OS,1 TB SSD
250,Lenovo IdeaPad Gaming 3 15ACH6 82K2022XIN Laptop (AMD Ryzen 7-5800H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹64,990",63,5th Gen AMD Ryzen 7  5800H,4 GB NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
251,Lenovo Ideapad Gaming 3 15ACH6 82K20145IN Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹81,000",68,5th Gen AMD Ryzen 7 5800H,4 GB NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
252,Acer Nitro 5 AN515-46 Gaming Laptop (Ryzen 5 6600H/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹93,566",62,6th Gen AMD Ryzen 5  6600H,4 GB NVIDIA GeForce RTX 3050,"Hexa Core, 12 Threads","15.6 inches, 2560 x 1440 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
